State_Code,State_Abv,Damage_Code,Damage_Descp,Amount
1,AL,1,Auto,16
1,AL,2,Business Loans,4
1,AL,3,Debt Relief,1
1,AL,4,Home Equity,13
1,AL,5,Personal,121
1,AL,6,Purchase,34
1,AL,7,Refinance,27
1,AL,8,Reverse Mortgage,1
2,AK,1,Auto,0
2,AK,3,Debt Relief,0
2,AK,4,Home Equity,1
2,AK,5,Personal,10
2,AK,6,Purchase,2
2,AK,7,Refinance,3
2,AK,8,Reverse Mortgage,0
2,AK,9,Student Loans,0
4,AZ,1,Auto,15
4,AZ,2,Business Loans,3
4,AZ,4,Home Equity,11
4,AZ,5,Personal,169
4,AZ,6,Purchase,39
4,AZ,7,Refinance,26
4,AZ,8,Reverse Mortgage,2
5,AR,1,Auto,4
5,AR,2,Business Loans,0
5,AR,10,CreditAnalyzer,0
5,AR,4,Home Equity,4
5,AR,5,Personal,47
5,AR,6,Purchase,13
5,AR,7,Refinance,12
5,AR,8,Reverse Mortgage,1
6,CA,1,Auto,110
6,CA,2,Business Loans,13
6,CA,3,Debt Relief,2
6,CA,4,Home Equity,101
6,CA,5,Personal,1341
6,CA,11,Prequalification,0
6,CA,6,Purchase,335
6,CA,7,Refinance,196
6,CA,8,Reverse Mortgage,12
8,CO,1,Auto,8
8,CO,2,Business Loans,2
8,CO,4,Home Equity,14
8,CO,5,Personal,149
8,CO,6,Purchase,35
8,CO,7,Refinance,31
8,CO,8,Reverse Mortgage,0
9,CT,1,Auto,17
9,CT,2,Business Loans,0
9,CT,4,Home Equity,13
9,CT,5,Personal,90
9,CT,6,Purchase,20
9,CT,7,Refinance,22
9,CT,8,Reverse Mortgage,1
10,DE,1,Auto,2
10,DE,2,Business Loans,0
10,DE,4,Home Equity,4
10,DE,5,Personal,20
10,DE,6,Purchase,5
10,DE,7,Refinance,3
10,DE,8,Reverse Mortgage,1
#N/A,DC,1,Auto,2
#N/A,DC,2,Business Loans,2
#N/A,DC,3,Debt Relief,0
#N/A,DC,4,Home Equity,3
#N/A,DC,5,Personal,39
#N/A,DC,6,Purchase,7
#N/A,DC,7,Refinance,4
#N/A,DC,8,Reverse Mortgage,0
12,FL,1,Auto,56
12,FL,2,Business Loans,15
12,FL,10,CreditAnalyzer,0
12,FL,3,Debt Relief,0
12,FL,4,Home Equity,55
12,FL,5,Personal,693
12,FL,11,Prequalification,0
12,FL,6,Purchase,172
12,FL,7,Refinance,115
12,FL,8,Reverse Mortgage,9
13,GA,1,Auto,41
13,GA,2,Business Loans,4
13,GA,10,CreditAnalyzer,0
13,GA,3,Debt Relief,0
13,GA,4,Home Equity,53
13,GA,5,Personal,541
13,GA,11,Prequalification,0
13,GA,6,Purchase,128
13,GA,7,Refinance,89
13,GA,8,Reverse Mortgage,2
15,HI,1,Auto,1
15,HI,2,Business Loans,0
15,HI,3,Debt Relief,0
15,HI,4,Home Equity,4
15,HI,5,Personal,36
15,HI,6,Purchase,5
15,HI,7,Refinance,7
15,HI,8,Reverse Mortgage,0
16,ID,1,Auto,4
16,ID,2,Business Loans,1
16,ID,3,Debt Relief,0
16,ID,4,Home Equity,3
16,ID,5,Personal,25
16,ID,6,Purchase,4
16,ID,7,Refinance,6
16,ID,8,Reverse Mortgage,0
17,IL,1,Auto,45
17,IL,2,Business Loans,9
17,IL,3,Debt Relief,2
17,IL,4,Home Equity,36
17,IL,5,Personal,508
17,IL,11,Prequalification,0
17,IL,6,Purchase,106
17,IL,7,Refinance,60
17,IL,8,Reverse Mortgage,1
18,IN,1,Auto,14
18,IN,2,Business Loans,6
18,IN,10,CreditAnalyzer,0
18,IN,4,Home Equity,10
18,IN,5,Personal,163
18,IN,6,Purchase,36
18,IN,7,Refinance,31
18,IN,8,Reverse Mortgage,1
19,IA,1,Auto,4
19,IA,2,Business Loans,0
19,IA,3,Debt Relief,0
19,IA,4,Home Equity,6
19,IA,5,Personal,64
19,IA,11,Prequalification,0
19,IA,6,Purchase,6
19,IA,7,Refinance,8
19,IA,8,Reverse Mortgage,2
20,KS,1,Auto,3
20,KS,2,Business Loans,1
20,KS,3,Debt Relief,0
20,KS,4,Home Equity,4
20,KS,5,Personal,50
20,KS,6,Purchase,12
20,KS,7,Refinance,7
20,KS,8,Reverse Mortgage,1
21,KY,1,Auto,4
21,KY,2,Business Loans,0
21,KY,4,Home Equity,6
21,KY,5,Personal,87
21,KY,6,Purchase,27
21,KY,7,Refinance,16
21,KY,8,Reverse Mortgage,2
22,LA,1,Auto,5
22,LA,2,Business Loans,3
